CORNMEAL,440,122,361,BAKING,13,MAJSMJÖL,204
WHEAT FLOUR,455,125,364,BAKING,13,VETEMJÖL,204
YEAST__ BAKERS__ DRY__ ACTIVE,20,7,286,BAKING,13,JÄST,204
BLUE CHEESE,100,28,357,CHEESE,17,BLÅMÖGELOST,204
CHEDDAR CHEESE,115,28,411,CHEESE,17,CHEDDAROST,204
FETA CHEESE,75,28,268,CHEESE,17,FETAOST,204
PARMESAN CHEESE,455,100,455,CHEESE,17,PARMESANOST,204
PARMESAN CHEESE,130,28,464,CHEESE,17,PARMESANOST,204
PARMESAN CHEESE__ GRATED,25,5,500,CHEESE,17,PARMESANOST,204
COFFEE__ BREWED,0,180,0,DRINKS,5,KAFFE__ BRYGG,204
COFFEE__ INSTANT__,0,182,0,DRINKS,5,KAFFE__ SNABB,204
COLA__ DIET__ ASPARTAME ONLY,0,355,0,DRINKS,5,COLA__ DIET,204
COLA__ DIET__ ASPRTAME + SACCHRN,0,355,0,DRINKS,5,COLA__ DIET,204
COLA__ DIET__ SACCHARIN ONLY,0,355,0,DRINKS,5,COLA__ DIET,204
COLA__ REGULAR,160,369,43,DRINKS,5,COCA COLA,204
COLLARDS__ COOKED FROM RAW,25,190,13,DRINKS,5,GRÖNKÅL,204
GIN__ RUM__ VODKA__ WHISKY 80-PROOF,95,42,226,DRINKS,15,ALKOHOL 40%,204
TEA__ BREWED,0,240,0,DRINKS,5,TE,204
WINE__ DESSERT,140,103,136,DRINKS,15,DESSERTVIN,204
WINE__ TABLE__ RED,75,102,74,DRINKS,15,VIN__ RÖTT,204
WINE__ TABLE__ WHITE,80,102,78,DRINKS,15,VIN__ VITT,204
EGGS__ COOKED__ FRIED,90,46,196,EGGS,4,ÄGG STEKT,204
EGGS__ COOKED__ HARD-COOKED,75,50,150,EGGS,4,ÄGG HÅRDKOKT,204
EGGS__ COOKED__ POACHED,75,50,150,EGGS,4,ÄGG POCHERAT,204
EGGS__ COOKED__ SCRAMBLED/OMELET,100,61,164,EGGS,4,ÄGGRÖRA,204
EGGS__ RAW__ WHITE,15,33,45,EGGS,4,ÄGGVITA,204
EGGS__ RAW__ WHOLE,75,50,150,EGGS,4,ÄGG__ RÅTT,204
EGGS__ RAW__ YOLK,60,17,353,EGGS,4,ÄGGULA,204
FLOUNDER OR SOLE,80,85,94,FISH,9,FLUNDRA,204
COD,75,100,75,FISH,9,TORSK,204
GRAVLAX,179,100,179,FISH,9,GRAVLAX,204
HAKE,70,100,70,FISH,9,KUMMEL,204
HADDOCK,80,100,80,FISH,9,KOLJA,204
HALIBUT,118,100,118,FISH,9,HÄLLEFLUNDRA,204
PIKEPERCH,97,100,97,FISH,9,GÖS,204
PERCH,85,100,85,FISH,9,ABBORRE,204
TUNA,138,100,138,FISH,9,TONFISK,204
PLAICE,93,100,93,FISH,9,SPÄTTA,204
APPLES__ RAW__,80,138,58,FRUIT,1,APPLEN,204
APRICOTS__ DRIED,310,130,238,FRUIT,1,APRIKOSER TORKADE,204
APRICOTS__ RAW,50,106,47,FRUIT,1,APRIKOSER TORKADE,204
PLANTAINS__ RAW,220,179,123,FRUIT,1,KOKBANAN,204
BLACKBERRIES__ RAW,75,144,52,FRUIT,1,BJÖRNBÄR,204
BLUEBERRIES__ RAW,80,145,55,FRUIT,1,BLÅBÄR,204
CANTALOUP,95,267,36,FRUIT,1,HONUNGSMELON,204
CHERRIES,50,68,74,FRUIT,1,KÖRSBÄR,204
COCONUT,160,45,356,FRUIT,1,KOKOSNÖT,204
COCONUT__ SHREDDED,285,80,356,FRUIT,1,KOKOSNÖTFLINGOR,204
FIGS__ DRIED,475,187,254,FRUIT,1,FIKON TORKADE,204
GRAPEFRUIT,40,120,33,FRUIT,1,GRAPEFRUKT,204
GRAPES__ EUROPEAN,40,57,70,FRUIT,1,DRUVOR,204
HONEYDEW MELON__ RAW,45,129,35,FRUIT,1,HONUNGSMELON,204
KIWIFRUIT__ RAW,45,76,59,FRUIT,1,KIWI,204
LEMONS__ RAW,15,58,26,FRUIT,1,CITRON,204
MANGOS,135,207,65,FRUIT,1,MANGO,204
ORANGES__ RAW,60,131,46,FRUIT,1,APELSIN,204
PAPAYAS__ RAW,65,140,46,FRUIT,1,PAPAYA,204
PEACHES__ DRIED,380,160,238,FRUIT,1,PERSIKA__ TORKAD,204
PEACHES__ RAW,35,87,40,FRUIT,1,PERSIKA,204
PEARS__ RAW__ D'ANJOU,120,200,60,FRUIT,1,PÄRON,204
PINEAPPLE__ RAW,75,155,48,FRUIT,1,ANANAS,204
PLUMS__ RAW,35,66,53,FRUIT,1,PLOMMON,204
PRUNES__ DRIED,115,49,235,FRUIT,1,PLOMMON,204
PUMPKIN__ COOKED FROM RAW,50,245,20,FRUIT,1,PUMPA,204
RAISINS,435,145,300,FRUIT,1,RUSSIN,204
RASPBERRIES__ RAW,60,123,49,FRUIT,1,HALLON,204
